Problema,Clase
Amparo tiene 5 lapices y le da 2 a Israel ¿Cuántas le quedan?,Cambio
Ana pesaba 22 kilos y ha engordado 7 kilos ¿Cuánto pesa ahora?,Cambio
Ana y su hermana tenían ahorrados 5050 euros. Se han gastado 2000 euros . ¿Cuánto dinero les queda?,Cambio
"Andrés tenía 14 tazos. Después de jugar ha reunido 18. ¿Cuántos ha
ganado?",Cambio
"Andrés tenía 14 tazos. Después de jugar le quedan sólo 8 tazos.
¿Cuántos ha perdido?",Cambio
"Antonio tenía en su hucha 500 euros. En su santo se ha gastado 50
euros. ¿Cuánto dinero tiene ahora en la hucha?",Cambio
"Antonio tenía en su hucha 8 euros. Después de su comunión, metió
otros 12 euros. ¿Cuánto dinero tiene ahora en la hucha ?",Cambio
"Antonio tenía en su hucha 8 euros. En su cumpleaños se ha gastado 5
euros. ¿Cuánto dinero tiene ahora en la hucha?",Cambio
"Beatriz tiene 20 regalices si se come 5 regalices. 
¿Cuántos regalices le quedan a Beatriz por comer?",Cambio
"Beatriz tiene 5 caramelos, si se come 3 caramelos.
¿Cuántos caramelos le quedan a Beatriz por comer?",Cambio
"Belén tiene 17 chicles, da algunos a Pablo y le quedan 5. ¿ Cuántos
chicles dio a Pablo?",Cambio
"Belén tiene 20 caramelos, da algunos a Pablo y le quedan 10. ¿ Cuántos
caramelos dio a Pablo?",Cambio
"Carmen salió de casa con 9 canicas, ganó 2 en el colegio. ¿Con cuántas volvió a casa?",Cambio
"Carmen salió de casa con 9 tazos, ganó 2 en el colegio. ¿Con cuántas volvió a casa?",Cambio
"De una granja partió un camión con 15300 huevos y llegaron al almacén
11200 huevos sin romper. ¿Cuántos huevos se rompieron por el camino?",Cambio
"De una granja partió un camión con 16300 huevos y llegaron al almacén
12300 huevos sin romper. ¿Cuántos huevos se rompieron por el camino?",Cambio
En el año 1403 comenzaron las obras de la catedral de Sevilla y la terminaron en el año 1506 ¿Cuántos años duraron las obras?,Cambio
En el año 1492 comenzaron las obras de la catedral de Granada y la terminaron en el año 1550 ¿Cuántos años duraron las obras?,Cambio
"En el colegio hay 20 niños jugando y
llegan 10 más. ¿Cuántos niños hay en
total?",Cambio
"En el parque hay 8 niños jugando y
llegan 4 más. ¿Cuántos niños hay en
total?",Cambio
"En la mesa donde va a comer la familia de
Alba hay 10 platos y Alba pone 3 platos más.
¿Cuántos vasos hay en total sobre la mesa?",Cambio
"En la mesa donde va a comer la familia de
Tomás hay 5 vasos y Tomás pone 2 vasos más.
¿Cuántos vasos hay en total sobre la mesa?",Cambio
En un autobús había 15 personas. Se bajaron 8 personas. ¿Cuántas personas quedaron en el autobús?,Cambio
"En un autobús van pasajeros de viaje y en una estación suben 32 pasajeros. Al
final del viaje 58 pasajeros. ¿Cuántos pasajeros iban al principio del viaje?",Cambio
"En un autobús van pasajeros de viaje y en una estación suben 52 pasajeros. Al
final del viaje 68 pasajeros. ¿Cuántos pasajeros iban al principio del viaje?",Cambio
En un autobús viajan varias personas. Se bajan 22 y se quedan 35 viajeros. ¿Cuántas personas viajaban en el autobús?,Cambio
En un autobús viajan varias personas. Se bajan 32 y se quedan 45 viajeros. ¿Cuántas personas viajaban en el autobús?,Cambio
"En un concurso de comedores de flanes se prepararon 2315 flanes. Si
se los veinticinco concursantes se comieron 1891 flan. ¿Cuántos
flanes sobraron?",Cambio
"En un concurso de comedores de mousses de chocolate se prepararon 2300 mousses. Si
se los veinticinco concursantes se comieron 1200 mousses. ¿Cuántos
flanes sobraron?",Cambio
En un taller arreglaron varios camiones la semana pasada y esta semana han reparado 30 más. Si en total han reparado 65 camiones. ¿Cuántos camiones repararon la semana pasada?,Cambio
En un taller de coches arreglaron varios coches la semana pasada y esta semana han reparado 23 más. Si en total han reparado 45 coches. ¿Cuántos coches repararon la semana pasada?,Cambio
En un tren había 150 personas. Se bajaron 80 personas. ¿Cuántas personas quedaron en el autobús?,Cambio
"En una biblioteca muchos libros, si reciben una donación de 342
libros más, tendrán 28902 libros en total. ¿Cuántos
libros tenían al principio?",Cambio
"En una biblioteca muchos libros, si reciben una donación de 400 libros más, tendrán 30000 libros en total. ¿Cuántos
libros tenían al principio?",Cambio
"En una carnicería han hecho 318 kilos de hamburguesas y les han sobrado
solamente 18 kilos. ¿Cuántos kilos de hamburguesas han vendido?",Cambio
"En una carnicería han hecho 328 kilos de chorizo y les han sobrado
solamente 28 kilos. ¿Cuántos kilos de chorizo han vendido?",Cambio
En una carrera tomaron la salida 200 corredores. Si llegaron a la meta 190 corredores. ¿Cuántos corredores abandonaron la carrera?,Cambio
En una carrera tomaron la salida 229 corredores. Si llegaron a la meta 206 corredores. ¿Cuántos corredores abandonaron la carrera?,Cambio
"En una heladería han preparado helado con 3500 litros de leche. Si
quedan 55 litros, ¿cuántos litros de helado han vendido?",Cambio
"En una heladería han preparado leche merengada con 2500 litros de leche. Si
quedan 45 litros, ¿cuántos litros de leche merengada han vendido?",Cambio
En una tienda había 1000 camisas. Si quedan 311. ¿Cuántas han vendido?,Cambio
En una tienda había 1200 vestidos. Si quedan 320. ¿Cuántas han vendido?,Cambio
"En una vía del tren se han colocado 200 metros de vías de hierro. La
vía entera debe tener 2000 km . ¿Cuántos km de vá faltan por colocar?",Cambio
"En una vía del tren se han colocado 272 metros de vías de hierro. La
vía entera debe tener 1422 km . ¿Cuántos km de vá faltan por colocar?",Cambio
"Héctor tiene algunos caramelos y le dan dos más. Tiene entonces 7
caramelos . ¿Cuántos caramelos tenía al principio?",Cambio
"Hugo tiene algunos chicles y le dan 2 más. Tiene entonces 10
caramelos . ¿Cuántos caramelos tenía al principio?",Cambio
Jaime tenía 20 cromos y compró 15 más. ¿Cuántos cromos tiene ahora?,Cambio
Jaime tenía 20 pegatinas y compró 15 más. ¿Cuántos pegatinas tiene ahora?,Cambio
Javier ha leído un libro que tiene 432 páginas. Por la noche leyó 110. ¿Cuántas páginas ha leído Javier?,Cambio
"Juan después de que le regalen 25 cromos más, tiene 112 en total. ¿Cuántos cromos tenía al principio?.",Cambio
"Juan después de que le regalen 25 pegatinas más, tiene 120 en total. ¿Cuántos cromos tenía al principio?.",Cambio
Juan ha plantado 693 rosales y 248 margaritas. Se le han secando 230 rosales. ¿Cuántos rosales le quedan en el huerto?,Cambio
Juan se gastó cuatro euros y ahora le quedan siete. ¿Cuánto dinero tenía al principio?,Cambio
"Juan tenía 20 monedas después de jugar ha reunido 30. ¿Cuántos ha
ganado?",Cambio
"Jugando he ganado 7 canicas, y ahora tengo 11. ¿Cuántas canicas
tenía antes de empezar a jugar?",Cambio
"Jugando he ganado 7 tazos, y ahora tengo 11. ¿Cuántas tazos
tenía antes de empezar a jugar?",Cambio
"Jugando he perdido 7 canicas, y ahora me quedan 4. ¿Cuántas canicas
tenía antes de empezar a jugar?",Cambio
"Jugando he perdido 7 tazos, y ahora me quedan 4. ¿Cuántas tazos
tenía antes de empezar a jugar?",Cambio
Julia ha leído una revista que tiene 512 páginas. Por la noche leyó 200. ¿Cuántas páginas ha leído Julia?,Cambio
Juliana pesaba 60 kilos y ha engordado 10 kilos ¿Cuánto pesa ahora?,Cambio
Julio tenía 28 bolsas de chucherías. Repartió 22 bolsas en la clase. ¿Cuántas bolsas de chucherías le quedan?,Cambio
Julio tenía 40 bolsas de gominolas. Repartió 12 bolsas en la clase. ¿Cuántas bolsas de gominolas le quedan?,Cambio
"La vuelta ciclista a España dura 21días y ha recorrido hasta hoy, 2353 km. El total de km de la vuelta es de 3251 km.
¿Cuántos km le faltan por recorrer a los ciclistas para acabar la vuelta?",Cambio
"La vuelta ciclista a España dura 21días y ha recorrido hasta hoy, 4000 km. El total de km de la vuelta es de 5000 km.
¿Cuántos km le faltan por recorrer a los ciclistas para acabar la vuelta?",Cambio
Loreto tiene 10 cromos. Le dan 6. ¿Cuántos tiene ahora?,Cambio
Loreto tiene 9 cromos. Le dan 6. ¿Cuántos tiene ahora?,Cambio
Lourdes tiene 5 bolas y le da 2 a Israel ¿Cuántas le quedan?,Cambio
Luis ha pegado en su álbum de artistas 120 cromos y le faltan 18 para acabarlo. ¿Cuántos cromos tiene el álbum?,Cambio
Luis ha pegado en su álbum de futbolistas 125 cromos y le faltan 38 para acabarlo. ¿Cuántos cromos tiene el álbum?,Cambio
"Manolo compra pasteles. Se come 15 y le quedan 12 pasteles. ¿Cuántos pasteles ha
comprado?",Cambio
María se gastó 19 euros y ahora le quedan 2. ¿Cuánto dinero tenía al principio?,Cambio
"Marta tiene algunos rotuladores . Da 10 a Jorge y le quedan 5
rotuladores ¿Cuántos rotuladores tenía al principio?",Cambio
"Marta tiene algunos rotuladores . Da 2 a Jorge y le quedan 5
rotuladores ¿Cuántos rotuladores tenía al principio?",Cambio
"Marta y Manuel se van de vacaciones. Al contratar el viaje pagan 350
euros y aún les quedan por pagar 220 euros. ¿Cuánto les cuesta el viaje?",Cambio
"Miguel salió de casa con algunas canicas. En el patio de colegio ganó 6.
Volvió a casa con 10 ¿Con cuántas canicas salió de casa?",Cambio
"Miguel salió de casa con algunas tazos. En el patio de colegio ganó 6.
Volvió a casa con 10 ¿Con cuántas tazos salió de casa?",Cambio
"Miguel y Domi se van de vacaciones. Al contratar el viaje pagan 3500
euros y aún les quedan por pagar 2200 euros. ¿Cuánto les cuesta el viaje?",Cambio
"Montse tenía 10 pelotas antes de comenzar la clase de educación física. Al
finalizar la clase sus alumnos le dan 5 más .¿Cuántos aros tiene ahora
Monse?",Cambio
"Montse tenía 4 aros antes de comenzar la clase de educación física. Al
finalizar la clase sus alumnos le dan 5 más .¿Cuántos aros tiene ahora
Monse?",Cambio
"Pablo compra pasteles. Se come 20 y le quedan 12 pasteles. ¿Cuántos pasteles ha
comprado?",Cambio
"Pablo tiene 7 libros y le da 2 libros
a su hermana. ¿Cuántos libros le
quedan a Pablo?",Cambio
"Pablo tiene 7 revistas y le da 3 revistas 
a su hermana. ¿Cuántos libros le
quedan a Pablo?",Cambio
"Paco tiene 1,534 euros y le han tocado 2,327 euros en la lotería. ¿Cuántos euros tiene Paco ahora?",Cambio
"Paco tiene una colección de 143 cromos y su primo le da 45
más. ¿Cuántos sellos tiene ahora la colección de Paco?",Cambio
"Paco tiene una colección de 143 sellos y su primo le da 42
más. ¿Cuántos sellos tiene ahora la colección de Paco?",Cambio
"Paco tiene una colección de pegatinas y su abuelo le ha regalado 15 más, así que ahora
tiene 515 pegatinas. ¿Cuántas pegatinas tenía al principio?",Cambio
"Paco tiene una colección de sellos y su abuelo le ha regalado 15 más, así que ahora
tiene 496 sellos. ¿Cuántos sellos tenía al principio?",Cambio
"Para pagar un álbum de cromos de 90 céntimos, Sara entrega una moneda de un 1. ¿Cuánto le devuelven?",Cambio
"Para pagar un álbum de pegatinas de 1,50 euros, Sara entrega una moneda de un 2. ¿Cuánto le devuelven?",Cambio
Pedro y su hermana tenían ahorrados 3050 euros. Se han gastado 1000 euros . ¿Cuánto dinero les queda?,Cambio
"Pepe tenía 50 monedas Después de jugar le quedan sólo 10 monedas.
¿Cuántos ha perdido?",Cambio
"Pepe tenía en su hucha 40 euros. Después de su comunión, metió
otros 50 euros. ¿Cuánto dinero tiene ahora en la hucha ?",Cambio
"Raquel tiene 15 boligrafos ¿Cuántos más necesitará para tener 25 en
total?",Cambio
"Raquel tiene 15 lapiceros ¿Cuántos más necesitará para tener 17 en
total?",Cambio
"Raúl compra un bolígrafo con 1 euro. Si le devuelven 0,2 c. ¿Cuánto le ha costado el bolígrafo?",Cambio
"Raúl compra un lapiz con 1 euro. Si le devuelven 0,3 c. ¿Cuánto le ha costado el bolígrafo?",Cambio
Roberto ha jugado dos partidas a las canicas. En la primera perdió cuatro canicas y en la segunda tres. ¿Cuantas canicas ha perdido?,Cambio
Roberto ha jugado dos partidas a las tazos. En la primera perdió cuatro tazos y en la segunda tres. ¿Cuantas tazos ha perdido?,Cambio
Rosa ha plantado 693 lavandas y 248 claveles. Se le han secando 230 claveles. ¿Cuántos claveles le quedan en el huerto?,Cambio
"Se han colocado 483 piezas de un puzle y quedan por colocar
230 piezas. ¿Cuántas piezas tiene el puzzle?",Cambio
"Se han colocado 750 piezas de un puzle y quedan por colocar
250 piezas. ¿Cuántas piezas tiene el puzzle?",Cambio
"Si ahora tengo 18 años, ¿cuánto tiempo debe pasar para que tenga 52?",Cambio
Si ahora tengo 28 años. ¿Cuántos tendré dentro de 19 años?.,Cambio
"Si ahora tengo 8 años, ¿cuánto tiempo debe pasar para que tenga 32?",Cambio
Si ahora tengo 8 años. ¿Cuántos tendré dentro de 16 años?.,Cambio
"Si estaban jugando a las peonzas tres amigos y después
vinieron dos amigos más, ¿cuántos amigos acabaron jugando
a las peonzas?",Cambio
"Si estaban jugando a los tazos 6 amigos y después
vinieron 2 amigos más, ¿cuántos amigos acabaron jugando
a los tazos?",Cambio
"Sofia tiene 3,000 euros y le han tocado 5,000 euros en la lotería. ¿Cuántos euros tiene Sofía ahora?",Cambio
Tengo 3 caramelos. Compro otros 4. ¿Cuantos caramelos tengo?,Cambio
Tengo 3 galletas. Compro otras 4. ¿Cuantas galletas tengo?,Cambio
Un agricultor tenía 30 sacos de patatas y vendió 27. ¿Cuántos sacos le quedaron?,Cambio
Un agricultor tenía 40 sacos de manzanas y vendió 10. ¿Cuántos sacos le quedaron?,Cambio
"Un árbol tiene 42 kilos de manzanas. Si el dueño recoge caen 25 kilos de
manzanas. ¿Cuántos kilos de manzanas quedan en el árbol?",Cambio
"Un árbol tiene 42 kilos de peras. Si el dueño recoge caen 25 kilos de
peras. ¿Cuántos kilos de peras quedan en el árbol?",Cambio
Un barco lleva navegando 203 millas en quince días y deberá navegar 300 más hasta llevar al puerto. ¿Cuántas millas habrá navegado cuando llegue al puerto?,Cambio
Un barco transporta 10 contenedores de mercancías. Atraca en un puerto para cargar 7 más y luego prosigue su travesía. ¿Cuántos contenedores hay en el barco después de zarpar?,Cambio
Un barco transporta 15 contenedores de mercancías. Atraca en un puerto para cargar 10 más y luego prosigue su travesía. ¿Cuántos contenedores hay en el barco después de zarpar?,Cambio
"Un cartero reparte 282 cartas y 50 paquetes, pero le faltan por
repartir 78 cartas. ¿Cuántas cartas llevaba en la cartera antes de repartir?",Cambio
"Un cartero reparte 290 cartas y 52 paquetes, pero le faltan por
repartir 82 cartas. ¿Cuántas cartas llevaba en la cartera antes de repartir?",Cambio
"Un corredor corrió la semana pasada varios kilómetros y esta semana lleva 15 km
más. Si al final de semana ha recorrido 74 Km. ¿Cuántos Km. realizó la semana pasada?",Cambio
"Un corredor corrió la semana pasada varios kilómetros y esta semana lleva 20 km
más. Si al final de semana ha recorrido 100 Km. ¿Cuántos Km. realizó la semana pasada?",Cambio
"Un jardinero plantó por la mañana flores y por la tarde 43 más, de manera que
plantó durante todo el día 87 flores. ¿Cuántas flores plantó por la mañana?",Cambio
"Un jardinero plantó por la mañana tulipanes y por la tarde 40 más, de manera que
plantó durante todo el día 90 tulipanes ¿Cuántas tulipanes plantó por la mañana?",Cambio
Un marinero pescó 400 kilos de jureles y ha vendido 120 kilos. ¿Cuántos kilos de sardinas le quedan?,Cambio
Un marinero pescó 450 kilos de sardinas y ha vendido 320 kilos. ¿Cuántos kilos de sardinas le quedan?,Cambio
Un panadero ha vendido 100 palmeras de las 200 que tenía. ¿Cuántas le quedan por vender?,Cambio
Un panadero ha vendido 45 barras de pan de las 130 que tenía. ¿Cuántas le quedan por vender?,Cambio
"Un televisor que costaba 835 euros, en las rebajas puede comprarse
por 699 euros. ¿Cuánto dinero lo han rebajado?",Cambio
Un tren ha realizado varios kilómetros hasta una estación y todavía le faltan 128 kilómetros para llegar a su destino. Si el trayecto entero tiene 600 kilómetros. ¿Cuántos kilómetros ha hasta la primera estación?,Cambio
Un tren ha realizado varios kilómetros hasta una estación y todavía le faltan 328 kilómetros para llegar a su destino. Si el trayecto entero tiene 595 kilómetros. ¿Cuántos kilómetros ha hasta la primera estación?,Cambio
un trozo de pollo pesa 500 gramos. ¿Cuánto le falta para pesar tres cuartos de kilo?,Cambio
Un trozo de queso pesa 325 gramos. ¿Cuánto le falta para pesar tres cuartos de kilo?,Cambio
Un velero lleva navegando 203 millas en quince días y deberá navegar 500 más hasta llevar al puerto. ¿Cuántas millas habrá navegado cuando llegue al puerto?,Cambio
Una bolsa de cacahuetes pesa 780 gramos. ¿Cuánto le falta para un kilo?,Cambio
Una bolsa de pipas pesa 800 gramos. ¿Cuánto le falta para un kilo?,Cambio
Una pastelería ha vendido varias tardas por la mañana y por la tarde ha vendido 36 tartas. Al final del día han vendido 70 tartas. ¿Cuántas vendieron por la mañana?,Cambio
Una pastelería ha vendido varias tartas por la mañana y por la tarde ha vendido 40 tartas. Al final del día han vendido 100 tartas. ¿Cuántas vendieron por la mañana?,Cambio
"Unos albañiles tienen que poner 4025 ladrillos para
hacer un muro. Si ya han puesto 3620.
¿Cuántos ladrillos les quedan por colocar?",Cambio
"Unos albañiles tienen que poner 5000 ladrillos para
hacer un muro. Si ya han puesto 3200.
¿Cuántos ladrillos les quedan por colocar?",Cambio
"Unos turistas han visitado la Alhambra 320 han ido primero al Generalife y
713 han entrado en el palacio. ¿Cuántos turistas han visitado la alhambra?",Cambio
"Unos turistas han visitado la Alhambra 325 han ido primero al Generalife y
780 han entrado en el palacio. ¿Cuántos turistas han visitado la alhambra?",Cambio
"Luis ha colado 8 goles jugando al futbol y Pedro 2 - ¿Cuántos goles metió Luis más
que Pedro?",Comparación
Para hacer unas tartas el pastelero han necesitado 94 kilos de harina y 26 de azúcar. ¿Cuántos kilos más de harina que de azúcar se han usado?,Comparación
En una granja sembraron 182 semillas de tomate y 242 de pimientos. ¿Cuántas semillas de pimientos más que de tomate se sembraron?,Comparación
"Pablo ha encestado 58 puntos al baloncesto, mientras que Miguel ha encestado 27 ¿Cuántos puntos más ha encestado Pablo que Miguel?",Comparación
"En el supermercado se han vendió 183 kilos de fruta, y 245 kilos de verduras. ¿Cuántos kilos más de verdura que de fruta se han vendido?",Comparación
"Un libro de aventuras tiene 431 páginas y 35 dibujos.
Otro libro de terror tiene 256 páginas y 50 dibujos. ¿Cuántas
páginas más tiene el libro de aventuras que el libro de terror?",Comparación
"Una ciudad hay 8315 aficionados del equipo de futbol de los leones
y 3233 del equipo de los panteras. ¿Cuántos aficionados más de
los leones que de los panteras hay?",Comparación
Álvaro tiene un álbum con 512 cromos de pokemon y otro con 620 cromos de futbol. ¿Cuántos cromos de futbol tiene más que de pokemon?,Comparación
El Mulhacén alcanza una altura de 3478 metros sobre el nivel del mar. El Pico del Veleta mide 83 metros menos que el Mulhacén. ¿Sabrías decir cuál es su altura?,Comparación
El colegio está a 589 metros de mi casa. El supermercado está 25 metros más cerca que el colegio. ¿A qué distancia está el supermercado?,Comparación
Juan tiene 12 años. Raúl tiene 3 años menos que Juan. ¿Cuántos años tiene?,Comparación
Un camión con su carga ha alcanzado los 4788 kg. Un coche es 3431 kg menos pesado que el camión. ¿Cuál es su peso?,Comparación
Un elefante adulto pesa alrededor de 5500 kg. Una jirafa es 1000 kg más ligera que el elefante. ¿Cuánto pesa una jirafa?,Comparación
Ramón y su amigo Pedro están viendo su colección de cromos. Ramón tiene 235 y Pedro 512 ¿Cuántos cromos menos tiene Ramón que Pedro?,Comparación
"En una competición de dardos, Luís ha hecho 386 puntos y Jaime
228 puntos. ¿Cuántos puntos menos ha hecho Jaime que Luís?",Comparación
"En una pastelería hacen cada día 4500 pasteles de nata y 2822 de chocolate. ¿Cuántos pasteles de chocolate menos que de nata
hacen?",Comparación
"Un barco pesquero ha capturado 6000 kilos de sardinas y 830 kilos de
bacalao. ¿Cuántos kilos de sardinas menos que de bacalao han capturado?",Comparación
"En una carnicería se vendió 26 morcillas, 11 chorizos picantes y 8 chorizos
sin pique. ¿Cuántos chorizos sin picante menos qué chorizos picantes se vendió?",Comparación
La mesa del maestro mide 135 centímetros y la del alumno mide 70 centímetros. ¿Cuántos centímetros menos mide la mesa del alumno que la del maestro?,Comparación
"Una novela de aventuras tiene 381 páginas y otro de cuentos tiene
273 páginas. ¿Cuántas páginas menos tiene el libro de cuentos que el
de aventuras?",Comparación
"A la playa han ido este fin de semana 4539 personas y a la
montaña 1234 personas. ¿Cuántas personas menos han ido a la montaña que a la playa?",Comparación
María ha ahorrado 37 euros y su hermano Juan ha ahorrado 76 euros. ¿Cuántos euros menos ha ahorrado María que su hermano Juan?,Comparación
"Eva tiene 145 sellos y su amiga Remedios 25 sellos más que
ella. ¿Cuántos sellos tiene Remedios?",Comparación
"En una carrera ciclista se han apuntado 333 chicas y 47
chicos más que chicas. ¿Cuántos chicos hay en la carrera?",Comparación
"En una carnicería se han vendido este mes 6300 kilos de chuletas más que el
mes pasado. Si el mes pasado vendieron 8500 kilos de chuletas. ¿Cuántos de
kilos de chuletas se han vendido este mes?",Comparación
"En un equipo de futbol hay 12 niñas y 6 niños más que niñas. ¿Cuántos niños hay en
el equipo?",Comparación
"A Mario le han regalado 8 juguetes. A María le han regalado 5 juguetes más.
¿Cuántos juguetes le regalaron ha regalado a María?",Comparación
"Una obra de teatro ha recaudado el día del estreno 572 euros y el segundo día 325 euros más. ¿Cuántos euros recaudaron el segundo día de
la función de teatro?",Comparación
"Esther tiene 28 años e Irene tiene 5 años más que ella. ¿Cuántos años tienen
Irene?",Comparación
"Un helicóptero tarda 19 minutos en cruzar el mar de Algeciras a Ceuta y un barco
tarda 28 minutos más. ¿Cuánto tarda el barco en cruzar?",Comparación
En una panadería han hecho 250 arras de pan integral y 132 más de pan blanco. ¿Cuántas barras de pan blanco han hecho?,Comparación
"Ana tiene cinco caramelos. Juan tiene dos caramelos menos que Ana.
¿Cuántos caramelos tiene Juan?",Comparación
En un parque infantil hay 12 niñas y 3 niños menos que niñas. ¿Cuantos niños y niás hay en total en el parque?,Comparación
"Ester tiene 8 euros. Irene tiene 5 euros más que ella. ¿Cuánto dinero tiene
Irene?",Comparación
La casa de Aurora tiene 15 ventanas. Mi casa tiene 9 ventanas. ¿Cuántas ventanas más que la mía tiene su casa?,Comparación
"La casa de Aurora tiene 9 ventanas, la mía 15. ¿Cuántas ventanas menos que la mía tiene su casa?",Comparación
"Mi casa tiene 9 ventanas, la de Aurora tiene 6 más que la mía. ¿Cuántas ventanas tiene la casa de Aurora?",Comparación
"Mi casa tiene 15 ventanas, la de Aurora tiene 6 menos que la mía. ¿Cuántas ventanas tiene su casa?",Comparación
"Mi casa tiene 15 ventanas, que son 6 ventanas más que las que tiene la casa de Aurora. ¿Cuántas ventanas tiene la casa de Aurora?",Comparación
"Mi casa tiene 9 ventanas, que son 6 menos que las de la casa de Aurora. ¿Cuántas ventanas tiene su casa?",Comparación
"Jorge tiene 8 cromos y Pedro 32. ¿Cuántos cromos tiene Pedro más que
Jorge?",Comparación
"Marcos tiene 37 euros. Raquel tiene 12 euros. ¿Cuántos euros menos que
Marcos tiene Raquel?",Comparación
"Marcos tiene 8 euros. Raquel tiene 5 euros. ¿Cuántos euros más que Raquel
tiene Marcos?",Comparación
"María tiene tres caramelos y Pedro tiene cinco. ¿Cuántos caramelos tiene
Pedro más que María?",Comparación
"Miquel tiene 35 cromos. Anna tiene 17 cromos más que Miquel. ¿Cuántos
cromos tiene Anna?",Comparación
"Rosa tiene 17 euros, y tiene 5 euros más que Carlos. ¿Cuántos euros tiene
Carlos?",Comparación
"Rosa tiene 17 euros, y tiene 5 euros menos que Carlos. ¿Cuántos euros tiene
Carlos?",Comparación
"Luis y Carmen han ido de pesca. Luis ha pescado 4 peces menos que su hermana
Julia. Si Julia ha pescado 13 peces, ¿cuántos pescó Luis?",Comparación
"Manuel ha realizado un salto de 182 centímetros, y Juan 8 centímetros menos que Manuel ¿Cuántos centímetros saltó Juan?",Comparación
"David recogió 19 kilos de naranjas y Diego recogió 3 kilos de naranjas menos
que David. ¿Cuántos kilos de naranjas recogió Diego?",Comparación
"Rafa ha corrido 5590 metros y Manuel 152
metros menos ¿Cuántas metros ha recorrido Manuel?",Comparación
"Javier tiene 15 años y su hermano Pedro tiene 4 años menos. ¿Cuántos años tiene
Pedro?",Comparación
Ramón y su amigo Marta están viendo su colección de cromos. Ramón tiene 250 cromos y Marta 20 menos ¿Cuántos cromos tiene Marta?,Comparación
"En una competición de baloncesto, Luís ha hecho 86 puntos y Jaime 28 puntos menos. ¿Cuántos puntos ha hecho Jaime?",Comparación
"En una pizzería hacen cada día 507 pizzas de queso y 82 menos de
atún. ¿Cuántas pizzas de atún hacen?",Comparación
"Un barco pesquero ha capturado 6000 kilos de sardinas y 3500 kilos menos
de boquerones. ¿Cuántos kilos de boquerones han capturado?",Comparación
"En un colegio hay 348 niños y niñas. Si hay 45 niñas
más que niños. ¿Cuántos niños hay en el colegio?",Comparación
"Silvia tiene 17 euros, 5 euros más que Carlos. ¿Cuántos euros tiene Carlos?",Comparación
"Un autobús tarde 95 minutos en realizar un trayecto, 30 más de lo que
tarda un coche. ¿Cuánto tarda el coche en hacer el mismo trayecto?",Comparación
"En una Universidad hablan inglés 4340 estudiantes.
Hablan 2400 más que el alemán y 1500 más que el francés.
¿Cuántos estudiantes hablan alemán?",Comparación
"Un edificio tiene 356 ventanas y viven en el 547 personas. Tiene doscientas noventa ventanas más que el edificio de enfrente. ¿Cuántas
ventanas tiene el edificio de enfrente?",Comparación
El pescadero vende 247 kilos de sardinas y 198 kilos más que de boquerones ¿Cuántos kilos de boquerones vende?.,Comparación
"Juan es capaz de correr 3550 metros en diez minutos,550 metros más que su hermano Ramón. ¿Cuántos metros corre su hermano Ramón?",Comparación
"Una panadería vendió ayer 592 euros de pan, y 25 euros
más que hoy. ¿Cuántos euros de pan ha vendido hoy?",Comparación
"Esther tiene 38 años, 12 años más que su hija Marina. ¿Cuántos años tienen
Marina?",Comparación
"Un coche recorre 1195 kilómetros con el depósito lleno, 128 menos de los que recorrerá un autobús. ¿Cuántos kilómetros recorrerá el
autobús?",Comparación
"Mi madre tiene 37 años, 6 menos que mi padre. ¿Cuántos años tiene de mi
padre?",Comparación
"El camión de la empresa “La Joya” lleva 227 toneladas de cemento,
23 menos que el camión de la empresa “El Diamante”. ¿Cuántas toneladas de cemento lleva el camión de la empresa “El Diamante”.?",Comparación
Un barco pesquero ha capturado 5360 kilos de sardinas y 867 kilos de boquerones menos que de sardinas. ¿Cuántos kilos de de boquerones ha capturado el barco?,Comparación
"Una mesa cuesta 322 euros, 49 menos que un armario.
¿Cuánto cuesta el armario?",Comparación
"En una vasija echamos 2,5 litros de agua, un 1,25 menos de su
capacidad. ¿De cuántos litros es la vasija?",Comparación
"A la fiesta del cumpleaños de Jaime acuden 16 niños, 3 niños menos que niña.
¿Cuántas niñas fueron a la fiesta?",Comparación
"La madre de Luis le envía a comprar a la charcutería 500 gramos de queso, y 250 gramos menos de salchichón. ¿Cuartos de gramos de salchichón tiene
que comprar?",Comparación
"En una caja de cartón caben 18 kilos de papel reciclado, 4 kilos menos que en una caja de plástico. ¿Cuántos kilos de papel reciclado caben en la caja de plástico?",Comparación
