Problema,Clase
"Pedro ha marcado 10 goles jugando al futbol y Pedro 5 - ¿Cuántos goles metió Luis más
que Pedro?",Comparación
Para hacer unas tartas el repostero han necesitado 100 kilos de harina y 20 de azúcar. ¿Cuántos kilos más de harina que de azúcar se han usado?,Comparación
En un huerto 150 semillas de pimientos rojos y 250 de pimientos verdes. ¿Cuántas semillas de pimientos verdes más que de pimientos rojos se sembraron?,Comparación
"Javier ha encestado 100 puntos al baloncesto, mientras que Miguel ha encestado 30 ¿Cuántos puntos más ha encestado Javier que Miguel?",Comparación
"Un libro de aventuras tiene 450 páginas y 36 dibujos.
Otro libro de terror tiene 250 páginas y 52 dibujos. ¿Cuántas
páginas más tiene el libro de aventuras que el libro de terror?",Comparación
"Una ciudad hay 8800 aficionados del barca
y 3000 al real madrid. ¿Cuántos aficionados más del barca que del real madrid?",Comparación
Jose tiene un álbum con 600 cromos de pokemon y otro con 320 cromos de futbol. ¿Cuántos cromos de futbol tiene más que de pokemon?,Comparación
El Mulhacén alcanza una altura de 5400 metros sobre el nivel del mar. El Pico del Veleta mide 90 metros menos que el Mulhacén. ¿Sabrías decir cuál es su altura?,Comparación
El instituto está a 200 metros de mi casa. El supermercado está 50 metros más cerca que el instituto. ¿A qué distancia está el supermercado?,Comparación
Jose Felix tiene 29 años. Pedro tiene 5 años menos que Jose Felix. ¿Cuántos años tiene?,Comparación
Un camión con su carga ha alcanzado los 6000 kg. Un coche es 5000kg menos pesado que el camión. ¿Cuál es su peso?,Comparación
Un elefante adulto pesa alrededor de 6000 kg. Una jirafa es 1100 kg más ligera que el elefante. ¿Cuánto pesa una jirafa?,Comparación
Ramón y su amigo Pedro están viendo su colección de pegatinas. Ramón tiene 250 y Pedro 550 ¿Cuántas pegatinas menos tiene Ramón que Pedro?,Comparación
"En una competición de dardos, Luís ha hecho 400 puntos y Jaime
150 puntos. ¿Cuántos puntos menos ha hecho Jaime que Luís?",Comparación
"En una pastelería hacen cada día 5200 pasteles de crema y 3230 de chocolate. ¿Cuántos pasteles de chocolate menos que de crema
hacen?",Comparación
En una carnicería se vendió 26 morcillas y 10 chorizos. ¿Cuántos chorizos menos qué morcilla se vendió?,Comparación
La mesa del jefe mide 150 centímetros y la del asociado mide 50 centímetros. ¿Cuántos centímetros menos mide la mesa del asociado que la del jefe?,Comparación
"Una novela de aventuras tiene 400 páginas y otro de cuentos tiene
250 páginas. ¿Cuántas páginas menos tiene el libro de cuentos que el
de aventuras?",Comparación
"A la playa han ido este fin de semana 5700 personas y a la
montaña 1500 personas. ¿Cuántas personas menos han ido a la montaña que a la playa?",Comparación
María ha ahorrado 17 euros y su hermano Pedro ha ahorrado 56 euros. ¿Cuántos euros menos ha ahorrado María que su hermano Pedro?,Comparación
"Julia tiene 70 sellos y su amiga Vera 20 sellos más que
ella. ¿Cuántos sellos tiene Vera?",Comparación
"En una carrera ciclista se han apuntado 300 chicas y 40
chicos más que chicas. ¿Cuántos chicos hay en la carrera?",Comparación
"En una carnicería se han vendido este mes 630 kilos de filetes más que el
mes pasado. Si el mes pasado vendieron 850 kilos de filetes. ¿Cuántos de
kilos de filetes se han vendido este mes?",Comparación
"En un equipo de beisbol hay 15 niñas y 5 niños más que niñas. ¿Cuántos niños hay en
el equipo?",Comparación
"Un muscial ha recaudado el día del estreno 512 euros y el segundo día 300 euros más. ¿Cuántos euros recaudaron el segundo día de
la función del musical ?",Comparación
"A Maria le han regalado 8 peluches. A Teresa le han regalado 3 peluches más.
¿Cuántos peluches le regalaron ha regalado a Teresa?",Comparación
Marta tiene 32 años y Marco tiene 3 años más que ella. ¿Cuántos años tiene Marco?,Comparación
"Un helicóptero tarda 25 minutos en cruzar el mar de Algeciras a Ceuta y un barco
tarda 38 minutos más. ¿Cuánto tarda el barco en cruzar?",Comparación
En una panadería han hecho 150 barras de pan integral y 132 más de pan blanco. ¿Cuántas barras de pan blanco han hecho?,Comparación
"Ana tiene 9 regalices. Juan tiene 3 regalices menos que Ana.
¿Cuántos regalices tiene Juan?",Comparación
En un parque infantil hay 20 niñas y 3 niños menos que niñas. ¿Cuantos niños y niñas hay en total en el parque?,Comparación
"Juliana tiene 18 euros. Ana tiene 12 euros más que ella. ¿Cuánto dinero tiene
Ana?",Comparación
La casa de Aurora tiene 15 puertas. Mi casa tiene 9 puertas. ¿Cuántas puertas más que la mía tiene su casa?,Comparación
"La casa de Aurora tiene 9 puertas, la mía 15. ¿Cuántas puertas menos que la mía tiene su casa?",Comparación
"Mi casa tiene 19 puertas, la de Aurora tiene 16 más que la mía. ¿Cuántas puertas tiene la casa de Aurora?",Comparación
"Mi casa tiene 5 puertas, la de Aurora tiene 2 menos que la mía. ¿Cuántas puertas tiene su casa?",Comparación
"Mi casa tiene 12 puertas, que son 6 puertas más que las que tiene la casa de Aurora. ¿Cuántas puertas tiene la casa de Aurora?",Comparación
"Mi casa tiene 10 puertas, que son 5 menos que las de la casa de Aurora. ¿Cuántas puertas tiene su casa?",Comparación
"Fran tiene 20 pegatinas y Pablo 30. ¿Cuántas pegatinas tiene Pablo más que
Fran?",Comparación
"Marcos tiene 57 euros. Helena tiene 22 euros. ¿Cuántos euros menos que
Marcos tiene Helena?",Comparación
"Marcos tiene 12 euros. Helena tiene 25 euros. ¿Cuántos euros más que Helena
tiene Marcos?",Comparación
"Marisa tiene tres caramelos y Luis tiene cinco. ¿Cuántos caramelos tiene
Luis más que Marisa?",Comparación
"Miquel tiene 15 cromos. Anna tiene 12 cromos más que Miquel. ¿Cuántos
cromos tiene Anna?",Comparación
"Rosa tiene 22 euros, y tiene 15 euros más que Carlos. ¿Cuántos euros tiene
Carlos?",Comparación
"Rosa tiene 27 euros, y tiene 15 euros menos que Carlos. ¿Cuántos euros tiene
Carlos?",Comparación
"Pablo y Sofía han ido de pesca. Pablo ha pescado 5 peces menos que su hermana
Julia. Si Julia ha pescado 15 peces, ¿cuántos pescó Pablo?",Comparación
"Pedro ha realizado un salto de 190 centímetros, y Juan 10 centímetros menos que Pedro ¿Cuántos centímetros saltó Juan?",Comparación
"José recogió 22 kilos de naranjas y Diego recogió 2 kilos de naranjas menos
que José. ¿Cuántos kilos de naranjas recogió Diego?",Comparación
"Luis ha corrido 5200 metros y Pedro 150
metros menos ¿Cuántas metros ha recorrido Pedro?",Comparación
"Javier tiene 22 años y su hermano Pablo tiene 3 años menos. ¿Cuántos años tiene
Pablo?",Comparación
Ramón y su amigo Sofía están viendo su colección de cromos. Ramón tiene 280 cromos y Sofía 10 menos ¿Cuántos cromos tiene Sofía?,Comparación
"En una competición de baloncesto, Luís ha hecho 186 puntos y Javier 30 puntos menos. ¿Cuántos puntos ha hecho Javier?",Comparación
"En una pizzería hacen cada día 500 pizzas de jamón y 182 menos de
atún. ¿Cuántas pizzas de atún hacen?",Comparación
"Un barco pesquero ha capturado 600 kilos de boquerones y 350 kilos menos
de jureles. ¿Cuántos kilos de jureles han capturado?",Comparación
"En una clase hay 340 niños y niñas. Si hay 40 niñas
más que niños. ¿Cuántos niños hay en la clase?",Comparación
"Silvia tiene 27 euros, 15 euros más que Carlos. ¿Cuántos euros tiene Carlos?",Comparación
"Un autobús tarde 85 minutos en realizar un trayecto, 20 más de lo que
tarda un coche. ¿Cuánto tarda el coche en hacer el mismo trayecto?",Comparación
"En una Universidad hablan inglés 4000 estudiantes.
Hablan 2500 más que el alemán y 1200 más que el francés.
¿Cuántos estudiantes hablan alemán?",Comparación
"Un edificio tiene 350 ventanas y viven en el 540 personas. Tiene 290 ventanas más que el edificio de enfrente. ¿Cuántas
ventanas tiene el edificio de enfrente?",Comparación
"El pescadero vende 230 kilos de gambas y 120
kilos más que de boquerones ¿Cuántos kilos de boquerones vende?.",Comparación
"Esther tiene 62 años, 22 años más que su hija Marina. ¿Cuántos años tienen
Marina?",Comparación
"Un coche recorre 1200 kilómetros con el depósito lleno, 120 menos de los que recorrerá un autobús. ¿Cuántos kilómetros recorrerá el
autobús?",Comparación
"Mi madre tiene 42 años, 4 menos que mi padre. ¿Cuántos años tiene de mi
padre?",Comparación
"La furgoneta lleva 100 toneladas de cemento,
23 menos que el camión de la empresa ¿Cuántas toneladas de cemento lleva la furgoneta?",Comparación
Un barco pesquero ha capturado 3200 kilos de sardinas y 800 kilos de boquerones menos que de sardinas. ¿Cuántos kilos de de boquerones ha capturado el barco?,Comparación
"Una mesa cuesta 250 euros, 30 menos que un armario.
¿Cuánto cuesta el armario?",Comparación
"En una vasija echamos 3,5 litros de agua, un 1,5 menos de su
capacidad. ¿De cuántos litros es la vasija?",Comparación
"A la fiesta del cumpleaños de Jaime acuden 13 niños, 2 niños menos que niña.
¿Cuántas niñas fueron a la fiesta?",Comparación
"La madre de Pablo le envía a comprar a la charcutería 400 gramos de jamón, y 250 gramos menos de queso. ¿Cuartos de gramos de queso tiene
que comprar?",Comparación
"En una caja de cartón caben 12 kilos de papel reciclado, 3 kilos menos que en una caja de plástico. ¿Cuántos kilos de papel reciclado caben en la caja de plástico?",Comparación
"Pedro y Juan juntan las canicas que
tienen, si Pedro tiene 4 canicas y Juan
tiene 5 canicas. ¿Cuántas canicas tienen
entre los dos?",Combinación
A una romería acuden 1.369 hombres y 1.865 mujeres. ¿Cuántos hombres más deberán acudir para que haya 1.500 hombres?,Combinación
Alejandro tiene 2 euros y 30 céntimos. ¿Cuánto le falta para pagar el libro qué cuesta 3 euros y 50 céntimos?,Combinación
"Ana quiere comprar un refresco de 53 céntimos, una piruleta de 15 céntimos y una bolsa de pipas de 35 céntimos. ¿Cuánto tiene qué pagar?",Combinación
Antonio tiene 1354 euros y le han tocado 2438 euros en la lotería. ¿Cuántos euros tiene Antonio ahora?,Combinación
Antonio tiene una colección de 234 conchas y su primo le da 24 más. ¿Cuántas conchas tiene ahora la colección de Antonio?,Combinación
"Aurora se está leyendo un libro de 253 páginas. Si ya lleva leídas 128
páginas, ¿cuántas páginas le quedan por leer?",Combinación
Carlos ha vendido 65 barras de pan de las 97 que tenía. ¿Cuántas le quedan por vender?,Combinación
Carlos llevó a la fiesta 15 caramelos y Sofía 22. Calcula ¿cuántos llevaron en total?,Combinación
"De los 95 adultos, 34 son hombres y el resto mujeres ¿ Cuantas mujeres hay en la piscina?",Combinación
"Después de un día de mercado, Antonio ha vendido 46 tomates y 16 lechugas. ¿Cuántos vegetales ha vendido?",Combinación
El cartero tenía 28 cartas. Repartió 11 cartas por la mañana. ¿Cuántas cartas le quedan para repartir por la tarde?,Combinación
El perro de Marina pesaba 12 kilos y ha engordado 7 kilos ¿Cuánto pesa ahora?,Combinación
"En clase hay 15 alumnos; 4 están sentados y el resto de pié ¿ Cuántos niños
están de pié?",Combinación
En clase hay 15 alumnos; 9 son niños y el resto niñas ¿ Cuántas niñas hay?,Combinación
"En clase hay 25 alumnos y de ellos 5 son chicas, ¿cuántos chicos hay en clase?",Combinación
En el año 1.919 comenzaron ha construir un puente y lo terminaron en el año 1.942. ¿Cuántos años duraron las obras?,Combinación
"En el aula de Ciencias de un colegio hay 138 arañas, 65 mariposas y 214 minerales. ¿Cuántos animales hay en total en el aula de Ciencias?",Combinación
"En el colegio, se han apuntado 192 alumnos a clases extraescolares. 85 se han apuntado a baloncesto y el resto a fútbol ¿Cuántos alumnos se han
apuntado a fútbol?",Combinación
"En el gimnasio estaban 25 alumnos, pero 12 han salido al patio para jugar. ¿Cuántos alumnos quedan en el gimnasio?",Combinación
En el parking del supermercado hay 34 coche y si llegan 24 coches más . ¿Cuántos coches habrá ahora?,Combinación
"En el parque de atracciones, Luisa gastó 360 céntimos en la entrada, 245 céntimos en refrescos y 182 céntimos en chucherías. ¿Cuánto se gastó en total?",Combinación
En el rebaño del señor Tomás hay 35 ovejas. Si 15 ovejas son negras. ¿Cuántas ovejas blancas hay?,Combinación
En la pastelería del tío Andrés se hicieron durante el año pasado 1.230 pasteles de nata y 2.500 de chocolate. ¿De qué tipo se hicieron más? ¿Cuántos se hicieron en total?,Combinación
En la yincana Eva consiguió 48 puntos y Edu 51. ¿Cuántos puntos consiguieron entre los dos?,Combinación
"En un centro comercial, entre restaurantes y tiendas, hay 125 locales. Si 87
locales son tiendas, ¿cuántos locales son restaurantes?",Combinación
En un rebaño hay 11 ovejas y nacieron 8 corderitos. ¿Cuántos animales hay ahora en el rebaño?,Combinación
En un tren había 15 personas. Se bajaron 9 personas. ¿Cuántas personas quedaron en el tren?,Combinación
"En una caja de 28 bombones, 15 son de chocolate negro y el resto de chocolate blanco. ¿Cuántos bombones son de chocolate blanco?",Combinación
En una campaña de recogida de alimentos se han conseguido 2.346 cajas de leche y 1.538 cajas de zumo. ¿Cuántas cajas se han conseguido en total?,Combinación
"En una carrera tomaron la salida 312 corredores. Si abandonaron 87, ¿cuántos corredores llegaron a la meta?",Combinación
En una fiesta de cumpleaños hay 56 invitados. Si se van 23 invitados. ¿Cuántos invitados quedan?,Combinación
En una piscina hay 95 adultos y 78 niños. ¿Cuantas personas hay en total?,Combinación
En una urbanización se han colocado 1.363 metros de cable para la luz. Para instalar toda la luz se necesitan 8.462 metros. ¿Cuántos metros de cable faltan por colocar?,Combinación
En una valla hay 4 tablas rojas y 5 tablas verdes. ¿Cuántas tablas rojas y verdes hay en total?,Combinación
"Entre mi hermano y yo le vamos a regalar a mi padre un perfume que
cuesta 63 euros. Si mi hermano pone 31 euros, ¿cuánto tengo que poner yo?",Combinación
Hay cuatro chicos y siete chicas en un mesa. ¿Cuántas personas hay en total?,Combinación
"He comprado un libro que costaba 9 euros. He pagado con un
billete de 20 euros. ¿Cuánto dinero me han devuelto?",Combinación
"Hemos recogido 76 pelotas de tenis en el gimnasio y las hemos guardado en una caja. Todas son verdes, menos 35 que son blancas. ¿Cuántas pelotas verdes hay?",Combinación
"Jaime tiene 5 libros de misterio y 8 de aventuras. ¿Cuántos libros tiene
en total?",Combinación
"Jorge salió de casa con 9 canicas. Ganó 3 canicas en el colegio. ¿Cuántas
canicas tenía cuando volvió a casa?",Cambio
"Jorge salió de casa con algunas canicas. Perdió 4 en el colegio. Volvió a casa
con 13. ¿Cuántas canicas tenía al principio?",Cambio
Jorge tiene 7 años. ¿Qué edad tendrá dentro de 15 años?,Cambio
"Julia tiene que hacer 40 ejercicios de lengua y matemáticas para la
semana que viene. De esos ejercicios, 25 son de lengua. ¿Cuántos ejercicios son de matemáticas?",Combinación
La clase de 2º ha contado las gafas de los alumnos del colegio. Había 15 gafas azules y 4 negras. ¿Cuántas gafas hay en total?,Combinación
"La clase de 2º realiza una excursión a Salamanca, si en el autocar viajan 45 niños y niñas. ¿Cuántos niños hay si viajan 24 niñas?",Combinación
La vuelta ciclista a la comarca ha recorrido 42.564 metros y dura 4 días. El total de metros de la vuelta es de 567.345 metros. ¿Cuántos metros le faltan por recorrer?,Combinación
Laura colecciona sellos. Tiene 568 sellos de España y 294 de otros países. ¿Cuántos sellos tiene en total?,Combinación
"Lorenzo tiene 6 años, su madre tiene 34 años y su padre 35 años. ¿Cuántos años suman entre los tres?",Combinación
"Los ladrillos para construir edificios se hacen con arcilla. Para construir un edificio, los albañiles tienen que poner 542.300 ladrillos en total. Si ya han puesto 376.580, ¿cuántos ladrillos quedan por colocar?",Combinación
"Luis bebe a la semana 15 litros de agua y 7 litros de leche, y Olga 14 litros de agua y 8 litros de leche. ¿Qué cantidad de agua beben entre los dos?",Combinación
"Luisa tiene 12 bombones contando los rellenos y los normales. Si tiene 10
rellenos, ¿cuántos bombones normales tiene Luisa?",Combinación
"Luisa tiene 12 bombones rellenos y 5 normales. ¿Cuántos bombones tiene Luisa
en total?",Combinación
"Marcos paga un bolígrafo con 1 euro. Si le devuelven 10 céntimos, ¿cuánto le ha costado el bolígrafo?",Cambio
Maria compra un rotulador que cuesta 2 euros y tenia 5 euros ¿Cuanto le devuelve el dependiente?,Cambio
María tenía 68 cromos. Si Juan le ha regalado 25 cromos a su prima María. ¿Cuántos cromos tiene ahora María?,Combinación
Mario ha vendido 74 helados y 10 limonadas ¿ Cuantas cosas ha vendido en total?,Combinación
Pablo tiene 8 películas de aventuras y 9 películas de dibujos animados. ¿Cuántas películas tiene Pablo?,Combinación
"Para hacer una macedonia de frutas mi padre y yo hemos cortado 43 trozos de manzana, 28 trozos de pera y 14 trozos de naranja. ¿Cuántos trozos de fruta hemos cortado en total?",Combinación
"Para pagar un cuaderno de 80 céntimos, Andrea entrega una moneda de un euro. ¿Cuánto le devuelven?",Combinación
"Paula pesa 35 kilos, Rubén 32 kilos y Lara pesa lo mismo que Rubén ¿Cuántos kilos pesan entre los tres?",Combinación
"Pedro y Juan juntan las canicas que tienen, si Pedro tiene 4
canicas y Juan tiene 5 canicas. ¿Cuántas canicas tienen entre
los dos?",Combinación
Pedro y su hermana tenían ahorrados 1.000 euros. Se han comprado un equipo de música que ha costado 354 euros. ¿Cuánto dinero les queda?,Combinación
Ramón ha plantado 782 lechugas y 263 acelgas. Se le secan 261 lechugas. ¿Cuántas lechugas le quedan en el huerto?,Combinación
Se organizó una yincana en el colegio en la que participaron 54 alumnos de 2º y 43 de 1º. ¿Cuántos alumnos participaron en total?,Combinación
"Sergio está construyendo un puzle de 90 piezas. Si ya ha juntado 49 piezas,
¿cuántas piezas le quedan por juntar?",Combinación
Si ahora tengo 9 años. ¿Cuántos tendré dentro de 14 años?,Combinación
"Si en el lado izquierdo del parque hay 2 árboles y en el lado
derecho hay 3, ¿cuántos árboles hay en total ?",Combinación
Tengo 5 peras y 6 manzanas. ¿Cuántas frutas tengo en total?,Combinación
Un agricultor recogió 500 kilos de patatas. Ya ha consumido 224 kilos. ¿Cuántos kilos de patatas le quedan?,Combinación
"Un árbol tiene 320 manzanas. Si se caen 35, ¿cuántas manzanas quedan?",Combinación
"Un comerciante compró un coche por 2000 e. Después de hacer algunas
reparaciones, lo vendió por 3500 e. ¿Cuánto obtuvo de beneficio?",Combinación
"Un depósito contiene 3.550 litros de agua, y otro 2.750 litros ¿Cuántos litros hay en los dos depósitos?",Combinación
"Un granjero tiene 133 ovejas, de las cuales 96 son blancas y el resto negras.
¿Cuántas ovejas negras tiene el granjero?",Combinación
Un pescadero tenía 30 merluzas y vendió 20. ¿Cuantos le quedaron?,Combinación
Un videoclub alquiló 47 películas por la mañana y 35 películas por la tarde. ¿Cuántas películas alquiló ese día?,Combinación
Una bolsa de patatas pesa 850 gramos. ¿Cuánto le falta para pesar un kilo?,Combinación
"Juan colecciona cromos de futbol. Tiene 465 de jugadores de temporadas anteriores y 182 de esta temporada. ¿Cuántos cromos tiene en
total?",Combinación
"Una piscina contiene 2343 litros de agua, y otra 1632 litros ¿Cuántos litros hay en las dos piscinas?",Combinación
"Julia quiere comprar un refresco de 32 céntimos, unas gominolas de 15
céntimos y una bolsa de patatas de 25 céntimos. ¿Cuánto tiene qué pagar?",Combinación
"Pedro llevó a la clase 15 colores y Sofía 32. Calcula ¿cuántos llevaron en
total?",Combinación
Carmen pesa 25 kilos y Miguel 28 kilos ¿Cuántos kilos pesan entre los dos?,Combinación
"Mi perro se come a la semana 8 kilos de carne y se bebe 15 litros de agua, y el
perro de mi amiga se come 9 kilos de carne y 14 litros de agua. ¿Qué cantidad de
agua beben entre los dos?",Combinación
"A una fiesta fueron 1608 mujeres y 2352
hombres. ¿Cuántas mujeres más deberán acudir para que haya el mismo número que de
hombres?",Combinación
"En el patio de recreo hay niños jugando. Al baloncesto juegan 42 niños y al
fútbol 56 niños. ¿Cuántos niños hay en el patio de recreo?",Combinación
"Pedro y Juan juntan los cromos que
tienen, si Pedro tiene 10 cromos y Juan
tiene 6 cromos. ¿Cuántas cromos tienen
entre los dos?",Combinación
A una fiesta acuden 1.200 hombres y 1.150 mujeres. ¿Cuántos hombres más deberán acudir para que haya 1.500 hombres?,Combinación
Pedro tiene 2 euros y 80 céntimos. ¿Cuánto le falta para pagar el libro qué cuesta 4 euros y 50 céntimos?,Combinación
"Sofia quiere comprar un refresco de 75 céntimos, una piruleta de 20 céntimos y una bolsa de pipas de 45 céntimos. ¿Cuánto tiene qué pagar?",Combinación
Antonio tiene 1154 euros y le han tocado 3000 euros en la lotería. ¿Cuántos euros tiene Antonio ahora?,Combinación
Antonio tiene una colección de 224 estampitas y su primo le da 14 más. ¿Cuántos estampitas tiene ahora la colección de Antonio?,Combinación
"Paola se está leyendo un libro de 400 páginas. Si ya lleva leídas 150
páginas, ¿cuántas páginas le quedan por leer?",Combinación
Pedro ha vendido 60 barras de pan de las 100 que tenía. ¿Cuántas le quedan por vender?,Combinación
Carlos llevó a la fiesta 12 caramelos y Sofía 23. Calcula ¿cuántos llevaron en total?,Combinación
"De los 105 adultos, 53 son hombres y el resto mujeres ¿ Cuantas mujeres hay en la piscina?",Combinación
"Después de un día de mercado, Antonio ha vendido 52 pimientos y 20 patatas. ¿Cuántos vegetales ha vendido?",Combinación
El cartero tenía 32 paquetes. Repartió 14 paquetes por la mañana. ¿Cuántos paquetes le quedan para repartir por la tarde?,Combinación
El gato de Laura pesaba 20 kilos y ha engordado 3 kilos ¿Cuánto pesa ahora?,Combinación
"En clase hay 20 alumnos; 6 están sentados y el resto de pié ¿ Cuántos niños
están de pié?",Combinación
En clase hay 60 alumnos; 40 son niños y el resto niñas ¿ Cuántas niñas hay?,Combinación
En el año 1.950 comenzaron ha construir un puente y lo terminaron en el año 1.982. ¿Cuántos años duraron las obras?,Combinación
"En el aula de Biologia de un colegio hay 120 arañas, 60 mariposas y 220 minerales. ¿Cuántos animales hay en total en el aula de Biologia?",Combinación
"En el colegio, se han apuntado 208 alumnos a clases extraescolares. 90 se han apuntado a tenis y el resto a fútbol ¿Cuántos alumnos se han
apuntado a fútbol?",Combinación
"En el gimnasio estaban 35 alumnos, pero 20 han salido al patio para jugar. ¿Cuántos alumnos quedan en el gimnasio?",Combinación
En el parking del supermercado hay 40 coches y si llegan 14 coches más . ¿Cuántos coches habrá ahora?,Cambio
"En el parque de atracciones, Pedro gastó 320 céntimos en la entrada, 215 céntimos en refrescos y 160 céntimos en chucherías. ¿Cuánto se gastó en total?",Combinación
En el rebaño del señor Juan hay 45 ovejas. Si 25 ovejas son negras. ¿Cuántas ovejas blancas hay?,Combinación
En la pastelería de mi pueblo se hicieron durante el año pasado 1.400 pasteles de chocolate y 3.500 de turron.¿Cuántos se hicieron en total?,Combinación
En el concurso Teresa consiguió 52 puntos y Pablo 30. ¿Cuántos puntos consiguieron entre los dos?,Combinación
"En un centro comercial, entre restaurantes y tiendas, hay 150 locales. Si 90
locales son tiendas, ¿cuántos locales son restaurantes?",Combinación
En un rebaño hay 20 ovejas y nacieron 5 corderitos. ¿Cuántos animales hay ahora en el rebaño?,Combinación
En un tren había 25 personas. Se bajaron 10 personas. ¿Cuántas personas quedaron en el tren?,Cambio
"En una caja de 38 bombones, 20 son de chocolate negro y el resto de chocolate blanco. ¿Cuántos bombones son de chocolate blanco?",Combinación
En una campaña de recogida de alimentos se han conseguido 2.250 cajas de arroz y 1.530 cajas de pasta. ¿Cuántas cajas se han conseguido en total?,Combinación
"En una carrera tomaron la salida 330 corredores. Si abandonaron 90, ¿cuántos corredores llegaron a la meta?",Combinación
En una fiesta de jubilación hay 70 invitados. Si se van 20 invitados. ¿Cuántos invitados quedan?,Cambio
En un club hay 105 adultos y 68 niños. ¿Cuantas personas hay en total?,Combinación
En una urbanización se han colocado 1.230 metros de cable para la luz. Para instalar toda la luz se necesitan 8.500 metros. ¿Cuántos metros de cable faltan por colocar?,Combinación
En una valla hay 14 tablas rosas y 15 tablas naranjas. ¿Cuántas tablas rosas y naranjas hay en total?,Combinación
"Entre mi hermano y yo le vamos a regalar a mi madre un perfume que
cuesta 43 euros. Si mi hermano pone 21 euros, ¿cuánto tengo que poner yo?",Combinación
Hay 4 chicos y 8 chicas en un mesa. ¿Cuántas personas hay en total?,Combinación
"He comprado un libro que costaba 20 euros. He pagado con un
billete de 30 euros. ¿Cuánto dinero me han devuelto?",Combinación
"Hemos recogido 70 pelotas de tenis en el gimnasio y las hemos guardado en una caja. Todas son rojas, menos 30 que son naranjas. ¿Cuántas pelotas rojas hay?",Combinación
"Jaime tiene 15 libros de misterio y 18 de aventuras. ¿Cuántos libros tiene
en total?",Combinación
"Jorge salió de casa con 20 canicas. Ganó 3 canicas en el colegio. ¿Cuántas
canicas tenía cuando volvió a casa?",Cambio
"Jorge salió de casa con algunas canicas. Perdió 5 en el colegio. Volvió a casa
con 12. ¿Cuántas canicas tenía al principio?",Cambio
Jorge tiene 17 años. ¿Qué edad tendrá dentro de 15 años?,Cambio
"Julia tiene que hacer 30 ejercicios de lengua y matemáticas para la
semana que viene. De esos ejercicios, 15 son de lengua. ¿Cuántos ejercicios son de matemáticas?",Combinación
La clase de 5º ha contado las gafas de los alumnos del colegio. Había 20 gafas azules y 5 negras. ¿Cuántas gafas hay en total?,Combinación
"La clase de 7º realiza una excursión a Salamanca, si en el autocar viajan 50 niños y niñas. ¿Cuántos niños hay si viajan 20 niñas?",Combinación
La vuelta ciclista a la comarca ha recorrido 52.000 metros y dura 4 días. El total de metros de la vuelta es de 600.000 metros. ¿Cuántos metros le faltan por recorrer?,Combinación
Marta colecciona sellos. Tiene 800 sellos de España y 300 de otros países. ¿Cuántos sellos tiene en total?,Combinación
"Lorenzo tiene 16 años, su madre tiene 54 años y su padre 55 años. ¿Cuántos años suman entre los tres?",Combinación
"Los ladrillos para construir edificios se hacen con arcilla. Para construir un edificio, los albañiles tienen que poner 541.200 ladrillos en total. Si ya han puesto 370.000, ¿cuántos ladrillos quedan por colocar?",Combinación
"Pepe bebe a la semana 3 litros de agua y 7 litros de leche, y Susana 10 litros de agua y 4 litros de leche. ¿Qué cantidad de agua beben entre los dos?",Combinación
"Paloma tiene 20 bombones contando los rellenos y los normales. Si tiene 10
rellenos, ¿cuántos bombones normales tiene Paloma?",Combinación
"Diego paga un lapiz con 1 euro. Si le devuelven 30 céntimos, ¿cuánto le ha costado el lapiz?",Cambio
Maria compra un rotulador que cuesta 1 euros y tenia 3 euros ¿Cuanto le devuelve el dependiente?,Cambio
Cloe tenía 68 cromos. Si Juan le ha regalado 25 cromos a su prima Cloe. ¿Cuántos cromos tiene ahora Cloe?,Combinación
Juan ha vendido 54 granizadas y 20 botellas de agua ¿ Cuantas cosas ha vendido en total?,Combinación
Pablo tiene 18 películas de aventuras y 19 películas de dibujos animados. ¿Cuántas películas tiene Pablo?,Combinación
"Para hacer una macedonia de frutas mi padre y yo hemos cortado 40 trozos de manzana, 22 trozos de pera y 10 trozos de naranja. ¿Cuántos trozos de fruta hemos cortado en total?",Combinación
